Country,Day,NeffBefore,NeffAfter,Mu,Lambda,Kappa,Iota,Gamma,Eta,Epsilon,Delta,Beta,Alpha,Other
Angola,2020-11-01,34.88929361852026,393.8651011913548,0.0,0.0,0.0006920581963809554,0.0,0.00022258584949050582,0.003321651275675149,0.0,9.540739249581177e-7,0.5042370885617248,0.004489832921386434,0.4870358291214172
Angola,2021-03-15,323.9286850905522,343.79019285892997,0.0,0.0,0.010475305642480903,0.0,0.001806230708834548,0.019152495393997042,0.0,0.002783132482318559,0.4128712663962731,0.16533064149151863,0.38758092788457754
Angola,2021-08-01,418.76265342342265,1.9961489477549197,0.0,0.0,0.000911541469496755,0.0,0.00010938395365449846,0.0015396726493218573,0.0,0.7220999543638402,0.058035358653350674,0.2084936748383391,0.008810414071996786
Argentina,2020-11-01,899.7201528496655,1228.5800408687337,6.329695100007228e-8,0.00016863507065671752,0.0,0.00011221770096928694,0.00023664860345469664,7.46687470158181e-6,0.0019506381582536677,1.4573762538439352e-12,8.3392659507524e-6,0.0016792323011174525,0.9958367587264872
Argentina,2021-03-15,762.1294092163868,2139.9957829308046,3.8583564152517467e-5,0.06315053439553428,0.0,0.007042516329583922,0.15045099759016037,0.0004324575168511789,0.02910952226440404,9.99598225192669e-6,0.000444637867021398,0.11214848011945619,0.6371722743705841
Argentina,2021-08-01,2251.7952861502636,76.08686481403426,0.008637485595053382,0.16206556498649655,0.0,0.0008934555217993393,0.500034169607555,6.420817530395009e-5,0.0004957766483035408,0.3042216933973677,4.173064977079739e-5,0.02073867752050535,0.0028072378978443646
Aruba,2020-11-01,5.237448065436378,749.112442826795,7.826858646886368e-7,1.002679083523614e-7,0.0,1.9225933642371036e-5,2.2844344187389475e-6,0.0,0.002348434336308623,4.812022184037405e-7,3.177624053101193e-5,0.0006814355549126513,0.9969154793441952
Aruba,2021-03-15,503.33706270159394,1306.3152793265383,0.01602209338514569,0.00100654997262417,0.0,0.07196727404330525,0.03952003430367738,0.0,0.07083909919436873,0.010110999397116382,0.005262458003244146,0.5937688201482709,0.19150267155224712
Aruba,2021-08-01,960.7562422271892,1072.9837482324688,0.039639654123876746,0.00018131750137646336,0.0,0.0038729580678946484,0.02616140514690715,0.0,6.410039090486052e-6,0.9250493274042969,5.615707152625197e-6,0.00508219454865034,1.1174607545894088e-6
Australia,2020-11-01,11180.342065151604,2225.544917211854,0.0,6.945015386025511e-5,7.724632148137024e-5,0.00018859610414574768,0.00015560545673259625,0.0004831045473788987,0.003030742476791126,3.2990598527142484e-7,0.0032845788011097287,0.015275291613390298,0.9774350546191247
Australia,2021-03-15,3686.84726181592,7701.536002115661,0.0,0.0007712660934609636,0.057167563600268735,0.004688615207702853,0.007661236601137965,0.014497128586450282,0.014807942055312736,0.018462881334904844,0.08088245728306848,0.4715039480552813,0.32955696118241196
Australia,2021-08-01,4872.120308654056,10438.382584022052,0.0,2.8820720860638846e-6,0.0028231034026600476,1.3621399521499062e-5,2.2723316207968175e-5,6.637072485972735e-5,6.975006705744325e-6,0.9930997170427022,0.0005124831624747027,0.003135238670592069,0.0003168852021898744
Austria,2020-11-01,489.63474322177126,3487.151855874508,8.67444762013776e-7,0.0,1.5145757983971504e-8,2.127396436396349e-6,7.850111431378718e-8,0.0004434188026142968,0.0,9.903125502906402e-14,0.027049026899927078,0.012723268664273856,0.9597811971450154
Austria,2021-03-15,2557.634654221518,4563.092214700326,0.0040566921895925055,0.0,9.418665178054657e-7,0.000455794588513366,0.0010133663663698198,0.003868791801105774,0.0,2.376639033506183e-5,0.0552652799334437,0.7306080318021972,0.20470733506192482
Austria,2021-08-01,5125.617113383463,1572.4312772055994,0.00022634234461578096,0.0,0.00020928531444633564,1.0570905676674956e-6,0.00047919261414934296,2.9187191239205615e-6,0.0,0.9947754767523778,6.505861231516472e-6,0.004243206192125868,5.601511136184761e-5
Bahrain,2020-11-01,83.40710948134776,165.6965385962053,0.0,0.0,0.0030216935292036277,0.0,4.1008111193609923e-10,0.0,0.0,1.3178618582986274e-6,0.0021823077789828813,0.003088271747657707,0.9917064086722163
Bahrain,2021-03-15,61.50063520868464,465.2044065974608,0.0,0.0,0.08258003941246658,0.0,3.551891936183494e-5,0.0,0.0,0.05034983927786201,0.10353858897589915,0.3329073958097113,0.43058861760469913
Bahrain,2021-08-01,455.8296140806375,222.34416958355644,0.0,0.0,0.00023597095261026455,0.0,0.0016888352501453162,0.0,0.0,0.9882745442574806,0.000666673288288201,0.008726566464796335,0.00040740978667933394
Bangladesh,2020-11-01,497.7998709759825,681.9063866830579,0.0,0.0,0.0,0.0,0.00026976074327422734,6.59996387078329e-5,0.0,4.696351008371797e-11,0.0014536029648090864,0.013897688479039567,0.9843129481272058
Bangladesh,2021-03-15,472.9320607973981,1089.116013020345,0.0,0.0,0.0,0.0,0.0016393218380662822,0.02499001321578286,0.0,0.0016116290978823555,0.5419379588071898,0.15704034847782952,0.2727807285632492
Bangladesh,2021-08-01,1135.7871049936878,323.6765285770033,0.0,0.0,0.0,0.0,1.875676098907232e-7,8.839096149090671e-5,0.0,0.9979991051101852,0.0018440153243098835,5.528306447877934e-5,1.301797192541792e-5
Belgium,2020-11-01,1627.278926791895,16413.518201394723,1.397643844420983e-10,1.555260379577853e-10,3.501519023087194e-6,2.1181360596074405e-6,0.000216834866407206,0.00019330653032933865,1.784359883794561e-5,5.948796398360906e-11,0.009337151182463744,0.01666242515253164,0.9735668186595692
Belgium,2021-03-15,10125.785884259374,26693.194893480737,2.008018071323163e-5,5.974724141505496e-6,0.0005909532973866425,3.122081817167386e-5,0.04879987007055229,0.0037059414499985583,8.784282874125585e-5,0.00014242860013890756,0.051164312900626216,0.725747150892031,0.1697042242374985
Belgium,2021-08-01,24488.05503387621,10304.153922747299,0.0021232912566128146,0.00036073108412401926,8.021481875072873e-6,4.912750979389467e-7,0.004747913091765939,2.2069770081790197e-5,5.127980615354333e-7,0.9710719607829065,0.00010813424725899208,0.02148108557510082,7.578863711458467e-5
Botswana,2020-11-01,27.917369644722854,302.8516302151869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8639178125292635e-9,0.26117518676468343,0.0,0.7388248093713988
Botswana,2021-03-15,203.1213191209221,541.4637751832864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005291064835604651,0.8428583840684781,0.0,0.1566125094479613
Botswana,2021-08-01,567.1552561746591,271.1688262949863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9643042053414592,0.014529165559891715,0.0,0.02116662909864893
Brazil,2020-11-01,2269.095231418961,13828.332590773009,2.759537731229287e-8,9.912729253139262e-6,0.0,0.0,0.010768121368077258,2.989610342290324e-5,0.0,5.6869578038157835e-12,5.545526652228874e-5,0.002178946794748504,0.9869576401369113
Brazil,2021-03-15,7635.61596134196,24742.54448580768,1.3735239012549849e-5,0.00025413344052384817,0.0,0.0,0.8216703837965208,5.721615523291938e-5,0.0,1.4488830656134536e-5,0.00032054753568911624,0.03504672893219396,0.1426227660701707
Brazil,2021-08-01,23604.079480856504,8740.426338346055,0.0009908055043803044,0.00017348778930415107,0.0,0.0,0.5393707695140477,5.642734725141166e-6,0.0,0.45554565427464255,5.152214774510221e-5,0.0031750471608837883,0.0006870708742713635
Bulgaria,2020-11-01,28.700235441242135,2039.8650346620773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7159930915578256e-14,3.8225477302224954e-10,0.005396091745017936,0.99460390787268
Bulgaria,2021-03-15,1483.1158078658584,2905.092325115008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399576405560398e-5,0.00010280774108953824,0.9703380438935013,0.02954515260135347
Bulgaria,2021-08-01,2531.9981368515964,1429.2853051823108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9779663564565525,0.0005447968691004853,0.019148008351944235,0.0023408383224027955
Cambodia,2020-11-01,4.886563037929293,217.28382938881415,0.0,0.0,0.0,0.0,0.0,0.0,0.0327682585466454,4.810394635951093e-6,0.0,0.0230477739631924,0.944179157095526
Cambodia,2021-03-15,59.28555690625258,635.0640334474102,0.0,0.0,0.0,0.0,0.0,0.0,0.007017470593590756,0.019378107345245744,0.0,0.8419647477004315,0.13163967436073204
Cambodia,2021-08-01,606.0024063594155,335.484523840245,0.0,0.0,0.0,0.0,0.0,0.0,5.0024037131805256e-6,0.3650241356241621,0.0,0.632396826505122,0.002574035467002732
Canada,2020-11-01,7314.830226338187,43488.50736803186,1.0033887564572366e-9,1.1182764895620953e-5,7.715435548037775e-5,4.7633784366830195e-8,5.732309462855695e-5,0.00033346029160883224,0.00035443098906579403,1.3492910206376203e-10,0.000580391698099008,0.0007859525927051901,0.9978000554414141
Canada,2021-03-15,26830.075363702264,60657.16621136105,5.733371414982728e-5,0.00044457858254069455,0.00844896713503275,0.0008016804231968203,0.11379477802350042,0.030089738509225118,0.013392154535203066,0.00044995156336474486,0.012058580662931244,0.3554707541911929,0.46499148265966217
Canada,2021-08-01,50526.52707760153,27373.601123772154,0.0006640975772514249,7.415778390282059e-6,5.850282425134575e-5,0.0013391797956383514,0.029044390506716842,0.000527616733225244,0.00018708781474286124,0.9205561792274304,0.0002496870783860216,0.045451342510662095,0.0019145001533051004
Chile,2020-11-01,573.7701357992398,2030.9551509855698,6.663113207899844e-11,0.006115902908968054,0.0,0.0006084348700755243,0.0013816549475178406,0.0,0.004566768744853671,2.4878464485189907e-13,8.194092007521624e-5,0.012709383710981084,0.9745359138306484
Chile,2021-03-15,684.408829863596,5699.116183192726,1.5517886795817514e-5,0.26196916243813284,0.0,0.002527580073570497,0.25317030636897075,0.0,0.01393124523708115,6.761173375738155e-7,0.0012149483837558986,0.06065461476247572,0.4065159487318794
Chile,2021-08-01,4865.63490283232,3204.7833964249285,0.09164738314064273,0.16669104197160015,0.0,0.00010698586812347607,0.6139361701320074,0.0,0.0010628543387180677,0.09182018034537841,0.00018729051530985385,0.008322619493968135,0.02622547419425166
China,2020-11-01,149.10015583059365,52.38248263839361,0.0,0.0,0.0,0.0,0.0017575179905270626,0.0,0.0,8.015538635742944e-5,0.011235233828502465,0.00944841566190432,0.9774786771327088
China,2021-03-15,41.060074495822505,94.69303977626193,0.0,0.0,0.0,0.0,0.038509790973866136,0.0,0.0,0.055080055129337585,0.055978124738513095,0.20545559731873492,0.6449764318395483
China,2021-08-01,118.03741600572674,0.0,0.0,0.0,0.0,0.0,0.0003573574324347678,0.0,0.0,0.9815525952181129,0.0008561649273569815,0.01598694162437277,0.0012469407977225625
Colombia,2020-11-01,181.2050706810996,1267.2458277668009,0.0009236857307732078,0.00013228913451586745,0.0,0.0003190720280995832,0.011651232083464132,0.0,0.0011141174761240536,3.3238841708980684e-12,0.0,0.004714973266616948,0.9811446302770821
Colombia,2021-03-15,425.7701791883227,2623.4642065844128,0.2081647957473449,0.01463821567133944,0.0,0.004220471655293208,0.2527527200552609,0.0,0.0067869324536267315,3.6372039472211837e-6,0.0,0.06724513743381438,0.44618808977937324
Colombia,2021-08-01,2401.708757372723,518.2367356263361,0.7828533470394284,0.017108230601137517,0.0,0.00029717947325972515,0.058619502042208796,0.0,0.003931680372555315,0.11693934331053221,0.0,0.0038326662792184667,0.016418050881659728
Costa Rica,2020-11-01,103.54742018717225,359.99304305239326,5.8171212847107475e-9,1.3803978994400226e-11,0.0,4.679278969741698e-5,5.804891851369153e-6,0.00028640026785427833,0.0023896336779293723,1.988774194973506e-12,0.0015969990733033393,0.0001978966909751812,0.995476466775475
Costa Rica,2021-03-15,255.63211778109994,558.9569032052182,0.002592219955565799,3.4735029125601906e-5,0.0,0.006998562029603937,0.042539129841969,0.008343658119314864,0.030628501885112354,7.604156092591357e-5,0.03473735390582452,0.19344522001920922,0.6806045776533488
Costa Rica,2021-08-01,534.679859291981,282.0828529778911,0.1089518792225024,0.029431266961061305,0.0,0.0022814834147605275,0.1974051929135739,6.114937120231188e-5,0.0007775595949048545,0.5953771597721257,0.0005244431523430817,0.04785026073509593,0.017339604862429983
Croatia,2020-11-01,36.839231580330434,2692.753449795408,0.0,0.0,0.0,0.004262251432628168,1.2272160620033573e-9,0.0,0.0,1.5991841198884603e-15,0.00015063870174001641,0.0009362941265290362,0.9946508145118851
